"Activity" "Subject" "Variable" "Average"
"LAYING" 1 "fBodyGyro-mean()-X" NA
"LAYING" 1 "fBodyGyro-mean()-Y" NA
"LAYING" 1 "fBodyGyro-mean()-Z" NA
"LAYING" 1 "fBodyGyro-std()-X" NA
"LAYING" 1 "fBodyGyro-std()-Y" NA
"LAYING" 1 "fBodyGyro-std()-Z" NA
"LAYING" 1 "fBodyGyro-meanFreq()-X" NA
"LAYING" 1 "fBodyGyro-meanFreq()-Y" NA
"LAYING" 1 "fBodyGyro-meanFreq()-Z" NA
"LAYING" 1 "fBodyAccMag-mean()" NA
"LAYING" 1 "fBodyAccMag-std()" NA
"LAYING" 1 "fBodyAccMag-meanFreq()" NA
"LAYING" 1 "fBodyBodyAccJerkMag-mean()" NA
"LAYING" 1 "fBodyBodyAccJerkMag-std()" NA
"LAYING" 1 "fBodyBodyAccJerkMag-meanFreq()" NA
"LAYING" 1 "fBodyBodyGyroMag-mean()" NA
"LAYING" 1 "fBodyBodyGyroMag-std()" NA
"LAYING" 1 "fBodyBodyGyroMag-meanFreq()" NA
"LAYING" 1 "fBodyBodyGyroJerkMag-mean()" NA
"LAYING" 1 "fBodyBodyGyroJerkMag-std()" NA
"LAYING" 1 "fBodyBodyGyroJerkMag-meanFreq()" NA
"LAYING" 2 "Activity" NA
"LAYING" 2 "Y" NA
"LAYING" 2 "Subject" NA
"LAYING" 2 "tBodyAcc-mean()-X" NA
"LAYING" 2 "tBodyAcc-mean()-Y" NA
"LAYING" 2 "tBodyAcc-mean()-Z" NA
"LAYING" 2 "tBodyAcc-std()-X" NA
"LAYING" 2 "tBodyAcc-std()-Y" NA
"LAYING" 2 "tBodyAcc-std()-Z" NA
"LAYING" 2 "tGravityAcc-mean()-X" NA
"LAYING" 2 "tGravityAcc-mean()-Y" NA
"LAYING" 2 "tGravityAcc-mean()-Z" NA
"LAYING" 2 "tGravityAcc-std()-X" NA
"LAYING" 2 "tGravityAcc-std()-Y" NA
"LAYING" 2 "tGravityAcc-std()-Z" NA
"LAYING" 2 "tBodyAccJerk-mean()-X" NA
"LAYING" 2 "tBodyAccJerk-mean()-Y" NA
"LAYING" 2 "tBodyAccJerk-mean()-Z" NA
"LAYING" 2 "tBodyAccJerk-std()-X" NA
"LAYING" 2 "tBodyAccJerk-std()-Y" NA
"LAYING" 2 "tBodyAccJerk-std()-Z" NA
"LAYING" 2 "tBodyGyro-mean()-X" NA
"LAYING" 2 "tBodyGyro-mean()-Y" NA
"LAYING" 2 "tBodyGyro-mean()-Z" NA
"LAYING" 2 "tBodyGyro-std()-X" NA
"LAYING" 2 "tBodyGyro-std()-Y" NA
"LAYING" 2 "tBodyGyro-std()-Z" NA
"LAYING" 2 "tBodyGyroJerk-mean()-X" NA
"LAYING" 2 "tBodyGyroJerk-mean()-Y" NA
"LAYING" 2 "tBodyGyroJerk-mean()-Z" NA
"LAYING" 2 "tBodyGyroJerk-std()-X" NA
"LAYING" 2 "tBodyGyroJerk-std()-Y" NA
"LAYING" 2 "tBodyGyroJerk-std()-Z" NA
"LAYING" 2 "tBodyAccMag-mean()" NA
"LAYING" 2 "tBodyAccMag-std()" NA
"LAYING" 2 "tGravityAccMag-mean()" NA
"LAYING" 2 "tGravityAccMag-std()" NA
"LAYING" 2 "tBodyAccJerkMag-mean()" NA
"LAYING" 2 "tBodyAccJerkMag-std()" NA
"LAYING" 2 "tBodyGyroMag-mean()" NA
"LAYING" 2 "tBodyGyroMag-std()" NA
"LAYING" 2 "tBodyGyroJerkMag-mean()" NA
"LAYING" 2 "tBodyGyroJerkMag-std()" NA
"LAYING" 2 "fBodyAcc-mean()-X" NA
"LAYING" 2 "fBodyAcc-mean()-Y" NA
"LAYING" 2 "fBodyAcc-mean()-Z" NA
"LAYING" 2 "fBodyAcc-std()-X" NA
"LAYING" 2 "fBodyAcc-std()-Y" NA
"LAYING" 2 "fBodyAcc-std()-Z" NA
"LAYING" 2 "fBodyAcc-meanFreq()-X" NA
"LAYING" 2 "fBodyAcc-meanFreq()-Y" NA
"LAYING" 2 "fBodyAcc-meanFreq()-Z" NA
"LAYING" 2 "fBodyAccJerk-mean()-X" NA
"LAYING" 2 "fBodyAccJerk-mean()-Y" NA
"LAYING" 2 "fBodyAccJerk-mean()-Z" NA
"LAYING" 2 "fBodyAccJerk-std()-X" NA
"LAYING" 2 "fBodyAccJerk-std()-Y" NA
"LAYING" 2 "fBodyAccJerk-std()-Z" NA
"LAYING" 2 "fBodyAccJerk-meanFreq()-X" NA
"LAYING" 2 "fBodyAccJerk-meanFreq()-Y" NA
"LAYING" 2 "fBodyAccJerk-meanFreq()-Z" NA
"LAYING" 2 "fBodyGyro-mean()-X" NA
"LAYING" 2 "fBodyGyro-mean()-Y" NA
"LAYING" 2 "fBodyGyro-mean()-Z" NA
"LAYING" 2 "fBodyGyro-std()-X" NA
"LAYING" 2 "fBodyGyro-std()-Y" NA
"LAYING" 2 "fBodyGyro-std()-Z" NA
"LAYING" 2 "fBodyGyro-meanFreq()-X" NA
"LAYING" 2 "fBodyGyro-meanFreq()-Y" NA
"LAYING" 2 "fBodyGyro-meanFreq()-Z" NA
"LAYING" 2 "fBodyAccMag-mean()" NA
"LAYING" 2 "fBodyAccMag-std()" NA
"LAYING" 2 "fBodyAccMag-meanFreq()" NA
"LAYING" 2 "fBodyBodyAccJerkMag-mean()" NA
"LAYING" 2 "fBodyBodyAccJerkMag-std()" NA
"LAYING" 2 "fBodyBodyAccJerkMag-meanFreq()" NA
"LAYING" 2 "fBodyBodyGyroMag-mean()" NA
"LAYING" 2 "fBodyBodyGyroMag-std()" NA
"LAYING" 2 "fBodyBodyGyroMag-meanFreq()" NA
"LAYING" 2 "fBodyBodyGyroJerkMag-mean()" NA
"LAYING" 2 "fBodyBodyGyroJerkMag-std()" NA
"LAYING" 2 "fBodyBodyGyroJerkMag-meanFreq()" NA
"LAYING" 3 "Activity" NA
"LAYING" 3 "Y" NA
"LAYING" 3 "Subject" NA
"LAYING" 3 "tBodyAcc-mean()-X" NA
"LAYING" 3 "tBodyAcc-mean()-Y" NA
"LAYING" 3 "tBodyAcc-mean()-Z" NA
"LAYING" 3 "tBodyAcc-std()-X" NA
"LAYING" 3 "tBodyAcc-std()-Y" NA
"LAYING" 3 "tBodyAcc-std()-Z" NA
"LAYING" 3 "tGravityAcc-mean()-X" NA
"LAYING" 3 "tGravityAcc-mean()-Y" NA
"LAYING" 3 "tGravityAcc-mean()-Z" NA
"LAYING" 3 "tGravityAcc-std()-X" NA
"LAYING" 3 "tGravityAcc-std()-Y" NA
"LAYING" 3 "tGravityAcc-std()-Z" NA
"LAYING" 3 "tBodyAccJerk-mean()-X" NA
"LAYING" 3 "tBodyAccJerk-mean()-Y" NA
"LAYING" 3 "tBodyAccJerk-mean()-Z" NA
"LAYING" 3 "tBodyAccJerk-std()-X" NA
"LAYING" 3 "tBodyAccJerk-std()-Y" NA
"LAYING" 3 "tBodyAccJerk-std()-Z" NA
"LAYING" 3 "tBodyGyro-mean()-X" NA
"LAYING" 3 "tBodyGyro-mean()-Y" NA
"LAYING" 3 "tBodyGyro-mean()-Z" NA
"LAYING" 3 "tBodyGyro-std()-X" NA
"LAYING" 3 "tBodyGyro-std()-Y" NA
"LAYING" 3 "tBodyGyro-std()-Z" NA
"LAYING" 3 "tBodyGyroJerk-mean()-X" NA
"LAYING" 3 "tBodyGyroJerk-mean()-Y" NA
"LAYING" 3 "tBodyGyroJerk-mean()-Z" NA
"LAYING" 3 "tBodyGyroJerk-std()-X" NA
"LAYING" 3 "tBodyGyroJerk-std()-Y" NA
"LAYING" 3 "tBodyGyroJerk-std()-Z" NA
"LAYING" 3 "tBodyAccMag-mean()" NA
"LAYING" 3 "tBodyAccMag-std()" NA
"LAYING" 3 "tGravityAccMag-mean()" NA
"LAYING" 3 "tGravityAccMag-std()" NA
"LAYING" 3 "tBodyAccJerkMag-mean()" NA
"LAYING" 3 "tBodyAccJerkMag-std()" NA
"LAYING" 3 "tBodyGyroMag-mean()" NA
"LAYING" 3 "tBodyGyroMag-std()" NA
"LAYING" 3 "tBodyGyroJerkMag-mean()" NA
"LAYING" 3 "tBodyGyroJerkMag-std()" NA
"LAYING" 3 "fBodyAcc-mean()-X" NA
"LAYING" 3 "fBodyAcc-mean()-Y" NA
"LAYING" 3 "fBodyAcc-mean()-Z" NA
"LAYING" 3 "fBodyAcc-std()-X" NA
"LAYING" 3 "fBodyAcc-std()-Y" NA
"LAYING" 3 "fBodyAcc-std()-Z" NA
"LAYING" 3 "fBodyAcc-meanFreq()-X" NA
"LAYING" 3 "fBodyAcc-meanFreq()-Y" NA
"LAYING" 3 "fBodyAcc-meanFreq()-Z" NA
"LAYING" 3 "fBodyAccJerk-mean()-X" NA
"LAYING" 3 "fBodyAccJerk-mean()-Y" NA
"LAYING" 3 "fBodyAccJerk-mean()-Z" NA
"LAYING" 3 "fBodyAccJerk-std()-X" NA
"LAYING" 3 "fBodyAccJerk-std()-Y" NA
"LAYING" 3 "fBodyAccJerk-std()-Z" NA
"LAYING" 3 "fBodyAccJerk-meanFreq()-X" NA
"LAYING" 3 "fBodyAccJerk-meanFreq()-Y" NA
"LAYING" 3 "fBodyAccJerk-meanFreq()-Z" NA
"LAYING" 3 "fBodyGyro-mean()-X" NA
"LAYING" 3 "fBodyGyro-mean()-Y" NA
"LAYING" 3 "fBodyGyro-mean()-Z" NA
"LAYING" 3 "fBodyGyro-std()-X" NA
"LAYING" 3 "fBodyGyro-std()-Y" NA
"LAYING" 3 "fBodyGyro-std()-Z" NA
"LAYING" 3 "fBodyGyro-meanFreq()-X" NA
"LAYING" 3 "fBodyGyro-meanFreq()-Y" NA
"LAYING" 3 "fBodyGyro-meanFreq()-Z" NA
"LAYING" 3 "fBodyAccMag-mean()" NA
"LAYING" 3 "fBodyAccMag-std()" NA
"LAYING" 3 "fBodyAccMag-meanFreq()" NA
"LAYING" 3 "fBodyBodyAccJerkMag-mean()" NA
"LAYING" 3 "fBodyBodyAccJerkMag-std()" NA
"LAYING" 3 "fBodyBodyAccJerkMag-meanFreq()" NA
"LAYING" 3 "fBodyBodyGyroMag-mean()" NA
"LAYING" 3 "fBodyBodyGyroMag-std()" NA
"LAYING" 3 "fBodyBodyGyroMag-meanFreq()" NA
"LAYING" 3 "fBodyBodyGyroJerkMag-mean()" NA
"LAYING" 3 "fBodyBodyGyroJerkMag-std()" NA
"LAYING" 3 "fBodyBodyGyroJerkMag-meanFreq()" NA
"LAYING" 4 "Activity" NA
"LAYING" 4 "Y" NA
"LAYING" 4 "Subject" NA
"LAYING" 4 "tBodyAcc-mean()-X" NA
"LAYING" 4 "tBodyAcc-mean()-Y" NA
"LAYING" 4 "tBodyAcc-mean()-Z" NA
"LAYING" 4 "tBodyAcc-std()-X" NA
"LAYING" 4 "tBodyAcc-std()-Y" NA
"LAYING" 4 "tBodyAcc-std()-Z" NA
"LAYING" 4 "tGravityAcc-mean()-X" NA
"LAYING" 4 "tGravityAcc-mean()-Y" NA
"LAYING" 4 "tGravityAcc-mean()-Z" NA
"LAYING" 4 "tGravityAcc-std()-X" NA
"LAYING" 4 "tGravityAcc-std()-Y" NA
"LAYING" 4 "tGravityAcc-std()-Z" NA
"LAYING" 4 "tBodyAccJerk-mean()-X" NA
"LAYING" 4 "tBodyAccJerk-mean()-Y" NA
"LAYING" 4 "tBodyAccJerk-mean()-Z" NA
"LAYING" 4 "tBodyAccJerk-std()-X" NA
"LAYING" 4 "tBodyAccJerk-std()-Y" NA
"LAYING" 4 "tBodyAccJerk-std()-Z" NA
"LAYING" 4 "tBodyGyro-mean()-X" NA
"LAYING" 4 "tBodyGyro-mean()-Y" NA
"LAYING" 4 "tBodyGyro-mean()-Z" NA
"LAYING" 4 "tBodyGyro-std()-X" NA
"LAYING" 4 "tBodyGyro-std()-Y" NA
"LAYING" 4 "tBodyGyro-std()-Z" NA
"LAYING" 4 "tBodyGyroJerk-mean()-X" NA
"LAYING" 4 "tBodyGyroJerk-mean()-Y" NA
"LAYING" 4 "tBodyGyroJerk-mean()-Z" NA
"LAYING" 4 "tBodyGyroJerk-std()-X" NA
"LAYING" 4 "tBodyGyroJerk-std()-Y" NA
"LAYING" 4 "tBodyGyroJerk-std()-Z" NA
"LAYING" 4 "tBodyAccMag-mean()" NA
"LAYING" 4 "tBodyAccMag-std()" NA
"LAYING" 4 "tGravityAccMag-mean()" NA
"LAYING" 4 "tGravityAccMag-std()" NA
"LAYING" 4 "tBodyAccJerkMag-mean()" NA
"LAYING" 4 "tBodyAccJerkMag-std()" NA
"LAYING" 4 "tBodyGyroMag-mean()" NA
"LAYING" 4 "tBodyGyroMag-std()" NA
"LAYING" 4 "tBodyGyroJerkMag-mean()" NA
"LAYING" 4 "tBodyGyroJerkMag-std()" NA
"LAYING" 4 "fBodyAcc-mean()-X" NA
"LAYING" 4 "fBodyAcc-mean()-Y" NA
"LAYING" 4 "fBodyAcc-mean()-Z" NA
"LAYING" 4 "fBodyAcc-std()-X" NA
"LAYING" 4 "fBodyAcc-std()-Y" NA
"LAYING" 4 "fBodyAcc-std()-Z" NA
"LAYING" 4 "fBodyAcc-meanFreq()-X" NA
"LAYING" 4 "fBodyAcc-meanFreq()-Y" NA
"LAYING" 4 "fBodyAcc-meanFreq()-Z" NA
"LAYING" 4 "fBodyAccJerk-mean()-X" NA
"LAYING" 4 "fBodyAccJerk-mean()-Y" NA
"LAYING" 4 "fBodyAccJerk-mean()-Z" NA
"LAYING" 4 "fBodyAccJerk-std()-X" NA
"LAYING" 4 "fBodyAccJerk-std()-Y" NA
"LAYING" 4 "fBodyAccJerk-std()-Z" NA
"LAYING" 4 "fBodyAccJerk-meanFreq()-X" NA
"LAYING" 4 "fBodyAccJerk-meanFreq()-Y" NA
"LAYING" 4 "fBodyAccJerk-meanFreq()-Z" NA
"LAYING" 4 "fBodyGyro-mean()-X" NA
"LAYING" 4 "fBodyGyro-mean()-Y" NA
"LAYING" 4 "fBodyGyro-mean()-Z" NA
"LAYING" 4 "fBodyGyro-std()-X" NA
"LAYING" 4 "fBodyGyro-std()-Y" NA
"LAYING" 4 "fBodyGyro-std()-Z" NA
"LAYING" 4 "fBodyGyro-meanFreq()-X" NA
"LAYING" 4 "fBodyGyro-meanFreq()-Y" NA
"LAYING" 4 "fBodyGyro-meanFreq()-Z" NA
"LAYING" 4 "fBodyAccMag-mean()" NA
"LAYING" 4 "fBodyAccMag-std()" NA
"LAYING" 4 "fBodyAccMag-meanFreq()" NA
"LAYING" 4 "fBodyBodyAccJerkMag-mean()" NA
"LAYING" 4 "fBodyBodyAccJerkMag-std()" NA
"LAYING" 4 "fBodyBodyAccJerkMag-meanFreq()" NA
"LAYING" 4 "fBodyBodyGyroMag-mean()" NA
"LAYING" 4 "fBodyBodyGyroMag-std()" NA
"LAYING" 4 "fBodyBodyGyroMag-meanFreq()" NA
"LAYING" 4 "fBodyBodyGyroJerkMag-mean()" NA
"LAYING" 4 "fBodyBodyGyroJerkMag-std()" NA
"LAYING" 4 "fBodyBodyGyroJerkMag-meanFreq()" NA
"LAYING" 5 "Activity" NA
"LAYING" 5 "Y" NA
"LAYING" 5 "Subject" NA
"LAYING" 5 "tBodyAcc-mean()-X" NA
"LAYING" 5 "tBodyAcc-mean()-Y" NA
"LAYING" 5 "tBodyAcc-mean()-Z" NA
"LAYING" 5 "tBodyAcc-std()-X" NA
"LAYING" 5 "tBodyAcc-std()-Y" NA
"LAYING" 5 "tBodyAcc-std()-Z" NA
"LAYING" 5 "tGravityAcc-mean()-X" NA
"LAYING" 5 "tGravityAcc-mean()-Y" NA
"LAYING" 5 "tGravityAcc-mean()-Z" NA
"LAYING" 5 "tGravityAcc-std()-X" NA
"LAYING" 5 "tGravityAcc-std()-Y" NA
"LAYING" 5 "tGravityAcc-std()-Z" NA
"LAYING" 5 "tBodyAccJerk-mean()-X" NA
"LAYING" 5 "tBodyAccJerk-mean()-Y" NA
"LAYING" 5 "tBodyAccJerk-mean()-Z" NA
"LAYING" 5 "tBodyAccJerk-std()-X" NA
"LAYING" 5 "tBodyAccJerk-std()-Y" NA
"LAYING" 5 "tBodyAccJerk-std()-Z" NA
"LAYING" 5 "tBodyGyro-mean()-X" NA
"LAYING" 5 "tBodyGyro-mean()-Y" NA
"LAYING" 5 "tBodyGyro-mean()-Z" NA
"LAYING" 5 "tBodyGyro-std()-X" NA
"LAYING" 5 "tBodyGyro-std()-Y" NA
"LAYING" 5 "tBodyGyro-std()-Z" NA
"LAYING" 5 "tBodyGyroJerk-mean()-X" NA
"LAYING" 5 "tBodyGyroJerk-mean()-Y" NA
"LAYING" 5 "tBodyGyroJerk-mean()-Z" NA
"LAYING" 5 "tBodyGyroJerk-std()-X" NA
"LAYING" 5 "tBodyGyroJerk-std()-Y" NA
"LAYING" 5 "tBodyGyroJerk-std()-Z" NA
"LAYING" 5 "tBodyAccMag-mean()" NA
"LAYING" 5 "tBodyAccMag-std()" NA
"LAYING" 5 "tGravityAccMag-mean()" NA
"LAYING" 5 "tGravityAccMag-std()" NA
"LAYING" 5 "tBodyAccJerkMag-mean()" NA
"LAYING" 5 "tBodyAccJerkMag-std()" NA
"LAYING" 5 "tBodyGyroMag-mean()" NA
"LAYING" 5 "tBodyGyroMag-std()" NA
"LAYING" 5 "tBodyGyroJerkMag-mean()" NA
"LAYING" 5 "tBodyGyroJerkMag-std()" NA
"LAYING" 5 "fBodyAcc-mean()-X" NA
"LAYING" 5 "fBodyAcc-mean()-Y" NA
"LAYING" 5 "fBodyAcc-mean()-Z" NA
"LAYING" 5 "fBodyAcc-std()-X" NA
"LAYING" 5 "fBodyAcc-std()-Y" NA
"LAYING" 5 "fBodyAcc-std()-Z" NA
"LAYING" 5 "fBodyAcc-meanFreq()-X" NA
"LAYING" 5 "fBodyAcc-meanFreq()-Y" NA
"LAYING" 5 "fBodyAcc-meanFreq()-Z" NA
"LAYING" 5 "fBodyAccJerk-mean()-X" NA
"LAYING" 5 "fBodyAccJerk-mean()-Y" NA
"LAYING" 5 "fBodyAccJerk-mean()-Z" NA
"LAYING" 5 "fBodyAccJerk-std()-X" NA
"LAYING" 5 "fBodyAccJerk-std()-Y" NA
"LAYING" 5 "fBodyAccJerk-std()-Z" NA
"LAYING" 5 "fBodyAccJerk-meanFreq()-X" NA
"LAYING" 5 "fBodyAccJerk-meanFreq()-Y" NA
"LAYING" 5 "fBodyAccJerk-meanFreq()-Z" NA
"LAYING" 5 "fBodyGyro-mean()-X" NA
"LAYING" 5 "fBodyGyro-mean()-Y" NA
"LAYING" 5 "fBodyGyro-mean()-Z" NA
"LAYING" 5 "fBodyGyro-std()-X" NA
"LAYING" 5 "fBodyGyro-std()-Y" NA
"LAYING" 5 "fBodyGyro-std()-Z" NA
"LAYING" 5 "fBodyGyro-meanFreq()-X" NA
"LAYING" 5 "fBodyGyro-meanFreq()-Y" NA
"LAYING" 5 "fBodyGyro-meanFreq()-Z" NA
"LAYING" 5 "fBodyAccMag-mean()" NA
"LAYING" 5 "fBodyAccMag-std()" NA
"LAYING" 5 "fBodyAccMag-meanFreq()" NA
"LAYING" 5 "fBodyBodyAccJerkMag-mean()" NA
"LAYING" 5 "fBodyBodyAccJerkMag-std()" NA
"LAYING" 5 "fBodyBodyAccJerkMag-meanFreq()" NA
"LAYING" 5 "fBodyBodyGyroMag-mean()" NA
"LAYING" 5 "fBodyBodyGyroMag-std()" NA
"LAYING" 5 "fBodyBodyGyroMag-meanFreq()" NA
"LAYING" 5 "fBodyBodyGyroJerkMag-mean()" NA
"LAYING" 5 "fBodyBodyGyroJerkMag-std()" NA
"LAYING" 5 "fBodyBodyGyroJerkMag-meanFreq()" NA
"LAYING" 6 "Activity" NA
"LAYING" 6 "Y" NA
"LAYING" 6 "Subject" NA
"LAYING" 6 "tBodyAcc-mean()-X" NA
"LAYING" 6 "tBodyAcc-mean()-Y" NA
"LAYING" 6 "tBodyAcc-mean()-Z" NA
"LAYING" 6 "tBodyAcc-std()-X" NA
"LAYING" 6 "tBodyAcc-std()-Y" NA
"LAYING" 6 "tBodyAcc-std()-Z" NA
"LAYING" 6 "tGravityAcc-mean()-X" NA
"LAYING" 6 "tGravityAcc-mean()-Y" NA
"LAYING" 6 "tGravityAcc-mean()-Z" NA
"LAYING" 6 "tGravityAcc-std()-X" NA
"LAYING" 6 "tGravityAcc-std()-Y" NA
"LAYING" 6 "tGravityAcc-std()-Z" NA
"LAYING" 6 "tBodyAccJerk-mean()-X" NA
"LAYING" 6 "tBodyAccJerk-mean()-Y" NA
"LAYING" 6 "tBodyAccJerk-mean()-Z" NA
"LAYING" 6 "tBodyAccJerk-std()-X" NA
"LAYING" 6 "tBodyAccJerk-std()-Y" NA
"LAYING" 6 "tBodyAccJerk-std()-Z" NA
"LAYING" 6 "tBodyGyro-mean()-X" NA
"LAYING" 6 "tBodyGyro-mean()-Y" NA
"LAYING" 6 "tBodyGyro-mean()-Z" NA
"LAYING" 6 "tBodyGyro-std()-X" NA
"LAYING" 6 "tBodyGyro-std()-Y" NA
"LAYING" 6 "tBodyGyro-std()-Z" NA
"LAYING" 6 "tBodyGyroJerk-mean()-X" NA
"LAYING" 6 "tBodyGyroJerk-mean()-Y" NA
"LAYING" 6 "tBodyGyroJerk-mean()-Z" NA
"LAYING" 6 "tBodyGyroJerk-std()-X" NA
"LAYING" 6 "tBodyGyroJerk-std()-Y" NA
"LAYING" 6 "tBodyGyroJerk-std()-Z" NA
"LAYING" 6 "tBodyAccMag-mean()" NA
"LAYING" 6 "tBodyAccMag-std()" NA
"LAYING" 6 "tGravityAccMag-mean()" NA
"LAYING" 6 "tGravityAccMag-std()" NA
"LAYING" 6 "tBodyAccJerkMag-mean()" NA
"LAYING" 6 "tBodyAccJerkMag-std()" NA
"LAYING" 6 "tBodyGyroMag-mean()" NA
"LAYING" 6 "tBodyGyroMag-std()" NA
"LAYING" 6 "tBodyGyroJerkMag-mean()" NA
"LAYING" 6 "tBodyGyroJerkMag-std()" NA
"LAYING" 6 "fBodyAcc-mean()-X" NA
"LAYING" 6 "fBodyAcc-mean()-Y" NA
"LAYING" 6 "fBodyAcc-mean()-Z" NA
"LAYING" 6 "fBodyAcc-std()-X" NA
"LAYING" 6 "fBodyAcc-std()-Y" NA
"LAYING" 6 "fBodyAcc-std()-Z" NA
"LAYING" 6 "fBodyAcc-meanFreq()-X" NA
"LAYING" 6 "fBodyAcc-meanFreq()-Y" NA
"LAYING" 6 "fBodyAcc-meanFreq()-Z" NA
"LAYING" 6 "fBodyAccJerk-mean()-X" NA
"LAYING" 6 "fBodyAccJerk-mean()-Y" NA
"LAYING" 6 "fBodyAccJerk-mean()-Z" NA
"LAYING" 6 "fBodyAccJerk-std()-X" NA
"LAYING" 6 "fBodyAccJerk-std()-Y" NA
"LAYING" 6 "fBodyAccJerk-std()-Z" NA
"LAYING" 6 "fBodyAccJerk-meanFreq()-X" NA
"LAYING" 6 "fBodyAccJerk-meanFreq()-Y" NA
"LAYING" 6 "fBodyAccJerk-meanFreq()-Z" NA
"LAYING" 6 "fBodyGyro-mean()-X" NA
"LAYING" 6 "fBodyGyro-mean()-Y" NA
"LAYING" 6 "fBodyGyro-mean()-Z" NA
"LAYING" 6 "fBodyGyro-std()-X" NA
"LAYING" 6 "fBodyGyro-std()-Y" NA
"LAYING" 6 "fBodyGyro-std()-Z" NA
"LAYING" 6 "fBodyGyro-meanFreq()-X" NA
"LAYING" 6 "fBodyGyro-meanFreq()-Y" NA
"LAYING" 6 "fBodyGyro-meanFreq()-Z" NA
"LAYING" 6 "fBodyAccMag-mean()" NA
"LAYING" 6 "fBodyAccMag-std()" NA
"LAYING" 6 "fBodyAccMag-meanFreq()" NA
"LAYING" 6 "fBodyBodyAccJerkMag-mean()" NA
"LAYING" 6 "fBodyBodyAccJerkMag-std()" NA
"LAYING" 6 "fBodyBodyAccJerkMag-meanFreq()" NA
"LAYING" 6 "fBodyBodyGyroMag-mean()" NA
"LAYING" 6 "fBodyBodyGyroMag-std()" NA
"LAYING" 6 "fBodyBodyGyroMag-meanFreq()" NA
"LAYING" 6 "fBodyBodyGyroJerkMag-mean()" NA
"LAYING" 6 "fBodyBodyGyroJerkMag-std()" NA
"LAYING" 6 "fBodyBodyGyroJerkMag-meanFreq()" NA
"LAYING" 7 "Activity" NA
"LAYING" 7 "Y" NA
